TITLE     = "Eccentric annulus R1=1.0 R2=3.0 eps=0.2500"
VARIABLES = "x corner"
"y corner"
"h"
"detJ"
ZONE T="I192_J64"
 I=192, J=64, K=1,F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE)
 -5.378098053E-16  3.000000000E+00  2.049390153E+00  1.928571429E+01
 -1.443948774E-01  2.996523005E+00  2.049685873E+00  1.927379500E+01
 -2.883662337E-01  2.986108658E+00  2.050573223E+00  1.923811623E+01
 -4.314938064E-01  2.968806679E+00  2.052052780E+00  1.917891403E+01
 -5.733637983E-01  2.944699298E+00  2.054125502E+00  1.909657788E+01
 -7.135719787E-01  2.913900312E+00  2.056792730E+00  1.899164498E+01
 -8.517266334E-01  2.876553796E+00  2.060056186E+00  1.886479229E+01
 -9.874513166E-01  2.832832487E+00  2.063917969E+00  1.871682681E+01
 -1.120387368E+00  2.782935886E+00  2.068380555E+00  1.854867417E+01
 -1.250196160E+00  2.727088110E+00  2.073446794E+00  1.836136585E+01
 -1.376561050E+00  2.665535533E+00  2.079119903E+00  1.815602529E+01
 -1.499189019E+00  2.598544262E+00  2.085403466E+00  1.793385335E+01
 -1.617811987E+00  2.526397509E+00  2.092301427E+00  1.769611326E+01
 -1.732187791E+00  2.449392875E+00  2.099818084E+00  1.744411549E+01
 -1.842100847E+00  2.367839621E+00  2.107958082E+00  1.717920278E+01
 -1.947362484E+00  2.282055950E+00  2.116726407E+00  1.690273562E+01
 -2.047810978E+00  2.192366347E+00  2.126128378E+00  1.661607846E+01
 -2.143311306E+00  2.099099008E+00  2.136169633E+00  1.632058671E+01
 -2.233754631E+00  2.002583394E+00  2.146856122E+00  1.601759486E+01
 -2.319057560E+00  1.903147928E+00  2.158194094E+00  1.570840577E+01
 -2.399161192E+00  1.801117867E+00  2.170190082E+00  1.539428120E+01
 -2.474029997E+00  1.696813358E+00  2.182850885E+00  1.507643367E+01
 -2.543650540E+00  1.590547682E+00  2.196183555E+00  1.475601961E+01
 -2.608030099E+00  1.482625712E+00  2.210195374E+00  1.443413383E+01
 -2.667195191E+00  1.373342569E+00  2.224893834E+00  1.411180529E+01
 -2.721190043E+00  1.262982481E+00  2.240286609E+00  1.378999401E+01
 -2.770075027E+00  1.151817844E+00  2.256381532E+00  1.346958915E+01
 -2.813925083E+00  1.040108468E+00  2.273186562E+00  1.315140805E+01
 -2.852828161E+00  9.281010106E-01  2.290709750E+00  1.283619629E+01
 -2.886883679E+00  8.160285698E-01  2.308959205E+00  1.252462842E+01
 -2.916201037E+00  7.041104415E-01  2.327943050E+00  1.221730953E+01
 -2.940898181E+00  5.925520131E-01  2.347669378E+00  1.191477731E+01
 -2.961100238E+00  4.815447854E-01  2.368146205E+00  1.161750466E+01
 -2.976938222E+00  3.712665075E-01  2.389381410E+00  1.132590266E+01
 -2.988547829E+00  2.618814097E-01  2.411382683E+00  1.104032383E+01
 -2.996068308E+00  1.535405210E-01  2.434157453E+00  1.076106564E+01
 -2.999641429E+00  4.638205634E-02  2.457712821E+00  1.048837413E+01
 -2.999410532E+00 -5.946813586E-02  2.482055484E+00  1.022244758E+01
 -2.995519667E+00 -1.638960809E-01  2.507191647E+00  9.963440242E+00
 -2.988112818E+00 -2.667991483E-01  2.533126936E+00  9.711466033E+00
 -2.977333214E+00 -3.680854956E-01  2.559866297E+00  9.466602096E+00
 -2.963322713E+00 -4.676734950E-01  2.587413892E+00  9.228892317E+00
 -2.946221268E+00 -5.654911501E-01  2.615772982E+00  8.998350669E+00
 -2.926166460E+00 -6.614755083E-01  2.644945808E+00  8.774964413E+00
 -2.903293102E+00 -7.555720772E-01  2.674933454E+00  8.558697126E+00
 -2.877732900E+00 -8.477342477E-01  2.705735712E+00  8.349491545E+00
 -2.849614176E+00 -9.379227289E-01  2.737350927E+00  8.147272231E+00
 -2.819061640E+00 -1.026104998E+00  2.769775841E+00  7.951948038E+00
 -2.786196211E+00 -1.112254769E+00  2.803005423E+00  7.763414397E+00
 -2.751134881E+00 -1.196351480E+00  2.837032691E+00  7.581555419E+00
 -2.713990619E+00 -1.278379803E+00  2.871848527E+00  7.406245817E+00
 -2.674872306E+00 -1.358329175E+00  2.907441477E+00  7.237352648E+00
 -2.633884705E+00 -1.436193358E+00  2.943797551E+00  7.074736906E+00
 -2.591128456E+00 -1.511970015E+00  2.980900011E+00  6.918254946E+00
 -2.546700094E+00 -1.585660313E+00  3.018729150E+00  6.767759765E+00
 -2.500692091E+00 -1.657268556E+00  3.057262076E+00  6.623102155E+00
 -2.453192906E+00 -1.726801831E+00  3.096472477E+00  6.484131710E+00
 -2.404287067E+00 -1.794269685E+00  3.136330396E+00  6.350697738E+00
 -2.354055245E+00 -1.859683818E+00  3.176802006E+00  6.222650044E+00
 -2.302574360E+00 -1.923057804E+00  3.217849375E+00  6.099839627E+00
 -2.249917673E+00 -1.984406829E+00  3.259430255E+00  5.982119281E+00
 -2.196154908E+00 -2.043747446E+00  3.301497860E+00  5.869344117E+00
 -2.141352357E+00 -2.101097352E+00  3.344000674E+00  5.761372004E+00
 -2.085573009E+00 -2.156475185E+00  3.386882263E+00  5.658063949E+00
 -2.028876666E+00 -2.209900331E+00  3.430081112E+00  5.559284420E+00
 -1.971320071E+00 -2.261392752E+00  3.473530487E+00  5.464901603E+00
 -1.912957031E+00 -2.310972825E+00  3.517158327E+00  5.374787624E+00
 -1.853838544E+00 -2.358661199E+00  3.560887171E+00  5.288818722E+00
